Designator,Mid X,Mid Y,Rotation,Layer
C1,177.475048,-58.142554,90.0,top
C10,192.4,-67.7625,0.0,top
C11,187.175048,-64.9825,90.0,top
C12,182.275048,-69.062554,180.0,top
C13,182.275048,-72.662554,180.0,top
C14,192.4,-68.5625,0.0,top
C15,187.775048,-76.8625,270.0,top
C2,193.775048,-58.362554,270.0,top
C3,193.775048,-60.862554,270.0,top
C4,184.9,-76.9625,180.0,top
C5,187.8,-78.8075,270.0,top
C6,186.375048,-64.9825,90.0,top
C7,188.575048,-76.862554,270.0,top
C8,190.075048,-66.062554,90.0,top
C9,191.075048,-66.062554,90.0,top
D1,122.0,-118.1875,0.0,top
D2,136.5,-118.1875,0.0,top
D3,151.0,-118.1875,0.0,top
D4,165.5,-118.1875,0.0,top
R1,186.124985,-54.42262,270.0,top
R2,189.824985,-54.42262,270.0,top
R3,177.475048,-59.952554,270.0,top
R4,177.475048,-61.972554,90.0,top
R5,190.95,-99.3625,90.0,top
R6,186.3,-76.9725,270.0,top
R7,188.075048,-66.052554,90.0,top
R8,189.075048,-66.052554,90.0,top
SW1,186.6,-92.3125,0.0,top
SW2,186.6,-99.3125,0.0,top
U1,181.175048,-61.462554,90.0,top
U2,188.675048,-60.362554,180.0,top
U3,187.375048,-71.662554,0.0,top
USB1,188.024985,-49.02262,180.0,top
VR1,120.25,-111.3875,90.0,top
VR2,134.75,-111.4375,90.0,top
VR3,149.25,-111.4875,90.0,top
VR4,163.75,-111.4875,90.0,top
Y1,185.2,-79.8125,0.0,top
